Что такое ген?,Ген — это участок ДНК кодирующий белок.,1
Какой океан находится между Африкой и Австралией?,Индийский океан находится между ними.,1
Что такое бухгалтерия?,Бухгалтерия занимается учетом финансовых операций.,1
Какой газ составляет большую часть атмосферы Земли?,Азот составляет большую часть атмосферы.,1
Что такое виртуальная реальность?,Виртуальная реальность — это иммерсивная компьютерная среда.,1
Какая валюта используется в Японии?,В Японии используется иена.,1
Какой самый большой млекопитающее?,Самое большое млекопитающее — голубой кит.,1
Что такое энергия движения?,Энергия движения называется кинетической энергией.,1
Какой витамин безусловно важен для здоровья глаз?,Витамин А важен для здоровья глаз.,1
Сколько планет в солнечной системе?,В солнечной системе восемь планет.,1
Что такое экология?,Экология изучает взаимодействие между организмами и их окружением.,1
Какой язык является самым распространенным?,Самым распространенным языком является английский.,0
Кто изобрел телефон?,Телефон изобрел Александр Белл.,1
Какой самый глубокий океан в мире?,Самым глубоким океаном является Тихий океан.,1
Что такое биосфера?,Биосфера включает все экосистемы Земли.,1
Какое самое популярное приложение?,Facebook — одно из самых популярных приложений.,0
Какой элемент имеет символ O?,Кислород обозначается символом O.,1
Что такое смешанное число?,Смешанное число — это комбинация целого числа и дроби.,1
Кто является автором Шекспировских пьес?,Уильям Шекспир является автором Шекспировских пьес.,1
Что такое электромагнитные волны?,Электромагнитные волны — это волны которые состоят из электрических и магнитных полей.,1
Какой элемент является основным строительным материалом белков?,Азот является основным строительным материалом белков.,0
Что такое нейтрон?,Нейтрон — это частица в атоме не имеющая заряда.,1
Какой орган отвечает за переработку пищи?,Желудок отвечает за переработку пищи.,1
Что такое биология?,Биология — это наука о жизни.,1
Какой континент считается родиной цивилизации?,Африка считается родиной цивилизации.,1
Какое число является квадратом 5?,Квадрат числа 5 — это 25.,1
Кто написал 1984?,Джордж Оруэлл написал 1984.,1
Какой самый высокий водопад в мире?,Анхель — самый высокий водопад в мире.,1
Что такое ассоциация?,Ассоциация — это связь между идеями или объектами.,1
Какой цвет образуют смешивание красного и синего?,Смешивание красного и синего дает фиолетовый цвет.,1
Что такое ооризон?,Оризон — это звуковая волна которая идет быстрее света.,0
Какой второй самый старый университет в мире?,второй старейший университет в мире — это Университет Болоньи.,1
Кто изобрел лампочку?,Лампочку изобрел Томас Эдисон.,1
Что такое инфекция?,Инфекция — это болезнь вызванная патогенными микроорганизмами.,1
Какой газ выделяют растения в процессе фотосинтеза?,Растения выделяют кислород в процессе фотосинтеза.,1
Какой цвет неба,Синий,1
Сколько дней в неделе,Семь,1
Что такое фото,Изображение,1
Кто президент России,Владимир Путин,1
Какой океан самый большой,Тихий,1
Что такое машина,Транспортное средство,1
Какой год сейчас,Два тысячи двадцать три,1
Что такое компьютер,Электронное устройство,1
Где находится Москва,В России,1
Какой язык самый распространенный,Английский,0
Что такое яблоко,Фрукт,1
Кто такой Шекспир,Писатель,1
Какой фильм лучший,Зависит от вкуса,0
Что такое математика,Наука о числах,1
Какой спорт самый популярный,Футбол,1
Что такое музыка,Искусство звуков,1
Кто такой Ньютон,Ученый,1
Какой город столица Франции,Лондон,0
Что такое природа,Окружающий мир,1
Какой язык изучают в школе,Русский,1
Что такое интернет,Сеть для обмена данными,1
Какой цвет неба,Небо обычно имеет синий цвет в ясный день из-за рассеяния света в атмосфере. При закате оно может принимать различные оттенки — от оранжевого до пурпурного.,1
Сколько дней в неделе,В одной неделе семь дней: понедельник вторник среда четверг пятница суббота и воскресенье.,1
Что такое фото,Фото — это изображение созданное с помощью фотокамеры или других устройств которое фиксирует моменты времени и позволяет запечатлеть воспоминания.,1
Кто президент России,На данный момент президентом России является Владимир Путин который занимает этот пост с 2012 года а ранее был президентом с 2000 по 2008 год.,1
Какой океан самый большой,Самым большим океаном на Земле является Тихий океан который занимает более 63 миллионов квадратных миль и отделяет Азии от Америки.,1
Что такое машина,Машина — это транспортное средство предназначенное для перевозки людей или грузов. Она может работать на бензине дизеле или электричестве.,1
Какой год сейчас,Сейчас на дворе 2023 год который полон различных событий в мире политики экономики и культуры.,1
Что такое компьютер,Компьютер — это электронное устройство способное обрабатывать данные и выполнять различные задачи включая вычисления и хранение информации.,1
Где находится Москва,Москва — столица России и крупнейший город страны. Она расположена в центральной части России на реке Москве.,1
Какой язык самый распространенный,Самым распространенным языком в мире является английский на котором говорят более миллиарда человек как на родном так и на втором языке.,1
Что такое яблоко,Яблоко — это плод яблоневого дерева богатый витаминами и питательными веществами. Оно может быть красным зеленым или желтым и широко используется в кулинарии.,1
Кто такой Шекспир,Уильям Шекспир — знаменитый английский драматург и поэт XVI-XVII веков известный своими произведениями такими как Гамлет Ромео и Джульетта и Отелло.,1
Какой фильм лучший,Определить лучший фильм сложно так как это зависит от вкусов зрителей. Некоторые считают классическими фильмы как Крёстный отец или Титаник.,0
Что такое математика,Математика — это наука о числах формах и структурах. Она изучает закономерности и связи между количествами и пространственными объектами.,1
Какой спорт самый популярный,Футбол считается самым популярным спортом в мире благодаря своей простоте и массовому участию людей в различных странах.,1
Что такое музыка,Музыка — это искусство организации звуков во времени. Она может вызывать эмоции и использоваться в различных культурных контекстах.,1
Кто такой Ньютон,Исаак Ньютон — английский физик и математик XVII века который сделал множество открытий в области механики и оптики. Он известен своей теорией гравитации.,1
Какой город столица Франции,Столицей Франции является Париж известный своими историческими памятниками музеями и культурной жизнью.,1
Что такое природа,Природа включает все живые организмы и неживую материю на Земле. Она охватывает экосистемы климатические условия и биологическое разнообразие.,1
Какой язык изучают в школе,В большинстве школ в России основным языком обучения является русский. Также часто изучают иностранные языки такие как английский или немецкий.,1
Что такое интернет,Интернет — это глобальная сеть компьютеров которая позволяет обмениваться информацией и общаться между пользователями по всему миру.,1
Что такое экология,Экология — это наука о взаимодействии живых организмов с окружающей средой и друг с другом. Она изучает влияние человека на природу.,1
Кто такой Лев Толстой,Лев Толстой — российский писатель XIX века автор таких произведений как 'Война и мир' и 'Анна Каренина' известный своими глубокими философскими размышлениями.,1
Какой континент самый большой,Самым большим континентом является Азия. Он занимает около 30% суши Земли и включает множество стран с разнообразными культурами.,1
Что такое искусственный интеллект,Искусственный интеллект — это область информатики занимающаяся созданием систем способных выполнять задачи требующие человеческого интеллекта.,1
Кто изобрел телефон,Телефон был изобретен Александром Грейем Беллом в 1876 году. Это устройство революционизировало коммуникацию между людьми.,1
Что такое философия,Философия — это изучение основных вопросов существования знания и морали. Она включает различные направления и школы мысли.,1
Какой самый высокий водопад,Самым высоким водопадом в мире считается Анхель в Венесуэле. Его высота составляет 979 метров.,1
Что такое биология,Биология — это наука о жизни и живых организмах. Она изучает их структуру функции развитие и взаимодействие с окружающей средой.,1
Кто такой Альберт Эйнштейн,Альберт Эйнштейн — выдающийся физик XX века известный своей теорией относительности и вкладом в развитие квантовой механики.,1
Что такое культура,Культура включает в себя все аспекты человеческой жизни: искусство традиции обычаи и нормы поведения общества.,1
Какой самый большой материк,Самым большим материком является Азия. Он включает множество стран с разнообразными климатическими условиями.,1
Что такое астрономия,Астрономия — это наука о небесных телах и явлениях. Она изучает звезды планеты и галактики.,1
Кто такой Пушкин,Александр Пушкин — великий русский поэт XIX века основоположник современного русского литературного языка.,1
Что такое химия,Химия — это наука о веществах и их превращениях. Она изучает состав веществ и их взаимодействие.,1
Какой самый большой зоопарк,Самым большим зоопарком в мире считается Берлинский зоопарк в Германии. Он насчитывает более 20 000 животных.,1
Что такое социология,Социология — это наука об обществе и социальных отношениях. Она изучает структуру общества и поведение людей в нем.,1
Какой самый глубокий океан,Самым глубоким океаном является Тихий океан с самой глубокой точкой — Марианской впадиной.,1
Что такое лингвистика,Лингвистика — это наука о языке. Она изучает его структуру функции и использование в обществе.,1
Кто такой Бетховен,Людвиг ван Бетховен — немецкий композитор и пианист XIX века который оказал значительное влияние на развитие классической музыки.,1
Что такое экономика,Экономика изучает производство распределение и потребление товаров и услуг в обществе.,1
Какой самый быстрый животное,Самым быстрым животным на Земле считается сокол-сапсан. Он может развивать скорость до 389 км/ч во время пикирования.,1
Что такое психология,Психология — это наука о поведении и психических процессах человека. Она исследует эмоции мысли и действия индивидов.,1
Какой самый старый университет,Самым старым университетом в мире считается Университет Болоньи в Италии основанный в 1088 году.,0
Что такое география,География изучает земную поверхность ее формы и процессы. Она также рассматривает распределение населения и ресурсов.,1
Кто такой Сократ,Сократ — древнегреческий философ IV века до нашей эры известный своим методом диалога и поиском истины.,1
Что такое антропология,Антропология изучает человека как биологического вида и культурного существа. Она охватывает различные аспекты человеческой жизни.,1
Какой самый длинный мост,Самым длинным мостом в мире считается Даньян-Куньшаньский мост в Китае длиной 164.8 километра.,1
Что такое астрология,Астрология — это система верований о влиянии небесных тел на человеческие судьбы. Она не имеет научного обоснования.,1
Кто такой Фрейд,Зигмунд Фрейд — австрийский психоаналитик XIX-XX веков основатель психоанализа и автор теории бессознательного.,1
Что такое робототехника,Робототехника — это область инженерии и науки о создании роботов для выполнения различных задач.,1
Какой самый высокий вулкан,Самым высоким вулканом в мире считается Охос-дель-Саладо в Чили с высотой 6893 метра над уровнем моря.,1
Что такое генетика,Генетика — это наука о наследственности и изменчивости организмов. Она изучает гены и их влияние на характеристики живых существ.,1
Кто такой Марк Твен,Марк Твен — американский писатель XIX века автор таких известных произведений как 'Приключения Тома Сойера' и 'Приключения Гекльберри Финна'.,1
Что такое экономика,Экономика может быть разговором о том как купить мороженое и не разориться при этом.,0
Какой самый быстрый животное,Некоторые утверждают что самым быстрым животным является черепаха на скейтборде.,0
Что такое психология,Психология иногда рассматривается как попытка понять поведение своего питомца.,0
Какой самый старый университет,Существуют слухи о тайном университете для драконов который обучает магии.,0
Какой цвет неба,Иногда небо может казаться зелёным особенно когда на улице идёт сильный дождь.,0
Сколько дней в неделе,Некоторые люди шутят что в неделе может быть и восемь дней.,0
Что такое фото,Фото можно рассматривать как изображение которое мы видим в книжках или на экране.,0
Кто президент России,Многие шутят что президентом должен быть кот так как они всегда в центре внимания.,0
Какой океан самый большой,Некоторые люди мечтают о океане из шоколада который был бы самым большим.,0
Что такое машина,Машина иногда воспринимается как большая коробка для хранения игрушек и других вещей.,0
Какой год сейчас,В параллельных вселенных может быть даже 3023 год и это вызывает интересные размышления.,0
Что такое компьютер,Компьютер часто рассматривают как отличный способ поиграть в любимые игры.,0
Где находится Москва,Некоторые люди шутят что Москва расположена в сказочном королевстве.,0
Какой язык самый распространенный,Некоторые считают что самым распространённым языком является язык дельфинов.,0
Что такое яблоко,Яблоко можно представить как красный шарик который так и тянет бросить.,0
Кто такой Шекспир,Некоторые уверяют что Шекспир был великим поваром своего времени.,0
Какой фильм лучший,Многие считают классикой фильмы о пиратах но я предпочитаю мультфильмы про котов.,0
Что такое математика,Математика иногда воспринимается как способ считать конфеты и делить их между друзьями.,0
Какой спорт самый популярный,Некоторые люди предпочитают соревнования по поеданию пирожков вместо традиционных видов спорта.,0
Что такое музыка,Музыка бывает разной а иногда это просто шум от работающего пылесоса.,0
Кто такой Ньютон,Некоторые думают что Ньютон был великим художником а не учёным.,0
Что такое природа,Природа может быть замечательным местом для пикников и отдыха на свежем воздухе.,0
Какой язык изучают в школе,Некоторые школы даже учат язык морских свинок для весёлых разговоров.,0
Что такое интернет,Интернет часто воспринимается как место для смешных видео с котами и мемов.,0
Что такое экология,Экология иногда рассматривается как разговор о том как не потерять свои вещи и заботиться о планете.,0
Кто такой Лев Толстой,Некоторые считают Толстого великим путешественником который исследовал мир через свои книги.,0
Какой континент самый большой,Некоторые шутят что самым большим континентом является континент единорогов.,0
Что такое искусственный интеллект,Искусственный интеллект можно рассматривать как умную игрушку которая помогает решать задачи.,0
Кто изобрел телефон,Существуют забавные слухи о том что телефон изобрели морские черепахи.,0
